token,count,suggested_usage,source_keywords,sample_titles
플레이스테이션5,34,검토 필요,플스5,플레이스테이션5 Ps5플스5 듀얼센스 충전 거치대 + 어댑터 | PS5 플스5 플레이스테이션5 듀얼센스 컨트롤러 블랙 | 플레이스테이션5 PS5 플스5 디스크 1218A01 풀박스
maxv,34,검토 필요,로보락,로보락 S6 MaxV 블랙 | 로보락 S9 MaxV Ultra 로봇청소기 직배수 | 로보락 S10 MaxV Ultra 직배수 블랙 미개봉
올리브그린,34,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26",[00072] 당일발송 갤럭시S23 256GB 올리브그린 외관 꺠끗한 리
핸드폰케이스,33,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 아이폰 16, 아이폰 15, 아이폰 17, 아이폰 17 프로",갤럭시 S25울트라 소가죽 핸드폰케이스 | 갤럭시 s25울트라 소가죽 핸드메이드 핸드폰케이스 | 갤럭시 s25울트라 핸드메이드 소가죽 다이어리 핸드폰케이스
경기,33,검토 필요,"갤럭시 s25, 갤럭시 s25 플러스, 갤럭시 s26, 애플워치, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17, 닌텐도 스위치",A급. 갤럭시S25플러스 256기가 부산중고폰 69671 대전 서울 경기 | A급. 갤럭시S25플러스 256기가 부산중고폰 69675 대전 서울 경기
갤럭시s25fe,33,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스",갤럭시S25/갤럭시S25FE 미개봉/전색상/새상품/삼성전자/삼케플 | [삼성전자]신제품 갤럭시S25/갤럭시S25FE 미개봉/새상품 | 갤럭시S25FE/S24FE 미개봉/새상품/정품/전색상/256기가/삼성케어
데저트,33,검토 필요,"아이폰 16, 아이폰 17 프로, 아이폰 17, 갤럭시 s26",갤럭시 S26 플립7 아이폰17 프로 데저트 마린 자급제 미개봉사요 | 애플 아이폰16프로 256기가 데저트 티타늄 단순개봉 새제품 | 아이폰 16프로 데저트 128gb
부품,33,검토 필요,"다이슨, 아이패드, 아이폰 15, 닌텐도 스위치, 로보락, 아이폰 16, 맥북, 애플워치",아이폰16 분해 부품 | [부품] 아이폰15프로 액정(정품 추출) 판매 | 아이폰15프로 부품 외관 멀쩡
magsafe,33,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17e, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 15, 에어팟 프로",beats 아이폰 16 플러스 MagSafe 케이스 정품 | 애플 아이폰 16 프로맥스 투명 MagSafe 케이스 미개봉 | 아이폰 16 플러스 실리콘 케이스 MagSafe
버건디,33,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 16, 아이폰 17 프로, 아이폰 17",새상품) 아이폰 16pro 버건디 휴대폰 케이스 | 구해요!! 케이스티파이 아이폰 17프로 멀버리 버건디 구해옹 | 갤럭시S22울트라 512기가 버건디 (S급) / 1208
딥블루,33,검토 필요,"아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 아이폰 16","아이폰17프로 256 딥블루->아이폰16프로,프로맥스 교환 | 아이폰17프로맥스 256GB 자급제 딥블루 팝니다. | 아이폰 17프로 512 실버 -> 512 딥블루 교환"
i7,33,검토 필요,"맥북, 아이패드",노트북/랩탑] 레노버 씽크패드 T580 (윈도우11 PRO / i7 / | 2018 터치바 맥북 프로15 i7 256gb 16gb | 맥북프로 레티나 i7/16GB 15인치 노트북
애플워치11,33,검토 필요,애플워치,애플워치11 46mm 내추럴 티타늄 | 애플워치11 네추럴 티타늄 46mm 밀레니즈루프 미개봉 | 애플워치11 42mm 제트블랙 최상급
레전드,33,검토 필요,닌텐도 스위치,닌텐도 스위치 포켓몬 레전드 za dlc | 닌텐도 스위치 포켓몬 레전드 ZA 한글판 팜니다 | 포켓몬 ZA 레전드 아트북 화집 일본 예약 특전
메탈,32,검토 필요,"애플워치, 갤럭시워치, 아이폰 17 프로, 아이폰 17, 갤럭시 s25 울트라, 갤럭시 s25, 아이패드, 플스5",갤럭시 S25 울트라 메탈 케이스 | 갤럭시 S25 울트라 메탈 범퍼케이스 (미사용) | 케이스티파이 아이폰 17프로 메탈 리본 케이스
3개,32,검토 필요,"갤럭시 s25, 아이폰 16, 애플워치, 아이폰 17, 아이폰 17 프로 맥스, 아이폰 17 프로, 갤럭시 s25 울트라, 아이폰 15","갤럭시 S25 울트라 케이스 3개 미개봉 새제품 판매 합니다 | 삼성 갤럭시 S25 / 지갑케이스  3개 ,원박스 그대로,새것대비99프로 | 아이폰16 Pro 케이스 3개 판매(CASETiFY 등)"
sm,32,검토 필요,"갤럭시워치, 갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s26 울트라",갤럭시 s26 울트라 자급제 SM-S948NZWWKOO 화이트/512 GB/자급제 | 갤럭시 S26 울트라 자급제 1테라 SM-S948NLBRKOO | 빈박스 갤럭시 s26 블랙 256기가 sm-s942
구해요,32,token_exclude_list 후보,"닌텐도 스위치, 아이폰 17, 아이폰 16, 아이폰 17 프로, 아이폰 15, 아이패드, 맥북, 애플워치","케이스티파이 마블 스파이더맨 아이폰 16프로 케이스 구해요 | 아이폰16프로,화이트로 구해요ㅠㅠ | 아이폰 16프로 아니면 17프로 대여 구해요"
터치바,32,검토 필요,"맥북, 아이폰 16",2018 터치바 맥북 프로15 i7 256gb 16gb | [풀박스] 맥북 프로13 M2 (터치바) | 애플 맥북프로13 (터치바) m2 16G 256GB + 매직마우스
왼쪽유닛,32,검토 필요,에어팟 프로,에어팟 프로2 왼쪽유닛(C타입) | 에어팟 프로2 왼쪽유닛 | [Re:Wave]에어팟프로1 왼쪽유닛(지지직거림)
밀레니즈루프,32,검토 필요,"애플워치, 갤럭시워치",[미개봉] 애플워치 울트라2 블랙 티타늄 밀레니즈루프 49mm | 애플워치 밀레니즈루프 구리색 ( 골드 ) 44mm SSS급 | 애플워치11 네추럴 티타늄 46mm 밀레니즈루프 미개봉
에폭시,31,검토 필요,"아이폰 17, 아이폰 16, 아이폰 15, 갤럭시 s25, 아이폰 17 프로, 갤럭시 s25 울트라, 아이폰 17 프로 맥스, 아이폰 17e",(새상품) 갤럭시 S25 울트라 에폭시 범퍼 용케이스 | 갤럭시s25 에폭시 범퍼 케이스 | 갤럭시s25 어프어프 에폭시 범퍼 체리 바다 케이스
젤리,31,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라, 갤럭시 s26, 아이폰 16, 아이폰 17, 갤럭시 s26 울트라, 아이폰 15, 갤럭시워치",갤럭시S25울트라 정품케이스(젤리) 2개카메라 강화유리필름 2개액정 | 갤럭시 S25 울트라 하이브리드 에어백 젤리 휴대폰 케이스 | 갤럭시 s25 울트라 투명 케이스 림피드 젤리 케이스
풀커버,31,검토 필요,"갤럭시 s25, 아이폰 17, 애플워치, 갤럭시 s25 울트라, 아이폰 16, 갤럭시 s25 플러스, 아이폰 17 프로, 아이폰 15","(새상품) 갤럭시 s24 s25시리즈 플러스 울트라 풀커버 케이스 리브스 | 자급제 갤럭시s25 울트라 512기가 티타늄 화이트 실버 S급 + 힐링쉴드 풀커버 강화유리 새상품 포함 | 신지모루 사생활보호 강화유리 풀커버 1매 갤럭시 s25플러스,s24플러스"
a등급,31,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 갤럭시 s25 울트라",[A등급] 갤럭시 S25 256GB 그레이 | 갤럭시 S23 플러스 256GB A등급 라벤더 (95% 배터리 효율) | 갤럭시 S23 256GB A등급 그린 (91% 배터리 효율)
갤럭시s26플러스,31,검토 필요,"갤럭시 s26, 갤럭시 s25, 갤럭시 s25 플러스, 갤럭시 s26 울트라","[미개봉,정품,삼성케어]갤럭시s26/갤럭시s26플러스/갤럭시s26울트라 | [미사용/새상품]갤럭시S26플러스 재고정리 할인[23,24,25,플립7] | 갤럭시S26플러스"
스타레일,31,검토 필요,"갤럭시 s26 울트라, 갤럭시 s26",붕괴 스타레일 키레네 굿즈 갤럭시 S26울트라 에디션(구매특전포함) | 붕괴 스타레일 갤럭시s26울트라 콜라보 키레네 에디션 아크릴 뮤직박스 | 붕괴 스타레일 갤럭시s26울트라 콜라보 키레네 핸드폰케이스
32기가,31,product_token_dictionary spec 후보,"아이패드, 아이폰 16, 아이폰 17, 아이폰 17e, 갤럭시 s25, 아이폰 15, 맥북, 애플워치","[상태 좋음] 아이폰 5c 전색상 판매 8기가,16기가,32기가 | B16 s급 아이폰SE1 32기가 무음 | 아이폰 5s 스그 실버 골드 16기가 32기가 64기가"
아이폰15플러스,31,검토 필요,"아이폰 15, 아이폰 16",아이폰15플러스 아이폰16플러스 신지모루 액정필름 1매 | [LG]아이폰15플러스[전색상/새상품/미개봉/정품/애플케어] | [KT]아이폰15플러스/128기가
프로11,31,검토 필요,아이패드,"아이패드 프로11 M2 128G 애플펜슬2세대 풀구성 | [새상품] 구조독 매직키보드 에어4,5,프로11,프로12.9 판매합니다 | 아이패드 프로11 m2"
닌텐도스위치2,31,검토 필요,닌텐도 스위치,삽니다 닌텐도스위치2 oled 라이트 동물의숲에디션 구매 매입 | 레트로 TV 모양 닌텐도스위치2 거치대 | 닌텐도스위치2 풀박스
기기,30,검토 필요,"갤럭시 s25, 갤럭시 s25 플러스, 닌텐도 스위치, 아이폰 17, 아이폰 15, 갤럭시 s25 울트라, 갤럭시 s26",갤럭시S25 플러스 등급별 기기 판매합니다
가성비,30,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 16, 아이패드, 에어팟 프로, 갤럭시 s26 울트라, 갤럭시 s25 울트라",갤럭시S25플러스 네이비색상 256용량 25년6월개통 미파손 무잔상 동일기종대비 가성비 꿀매물 판매합니다 | 한국발송)아이폰6  16G 32G 64G 가성비  초특가 세일판매. | 아이폰16프로 256G 골드 가성비 60524
수원,30,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 15",(25년개통) 갤럭시S25 256기가 네이비 부산중고폰 70915 수원 | (25년개통) 갤럭시S25 256기가 네이비 부산중고폰 71002 수원
명조,30,검토 필요,"갤럭시 s26, 갤럭시 s26 울트라",명조 치사 에디션 마우스패드 (갤럭시 S26 울트라) | 명조 갤럭시s26 울트라 치사에디션 핸드폰 케이스 미개봉 | 명조 갤럭시s26 울트라 치사에디션 핸드폰 케이스
급처합니다,30,검토 필요,"에어팟 프로, 애플워치, 아이폰 17 프로, 아이폰 17, 아이패드, 맥북, 로보락",아이폰11 초희기 새상품급 SS급(17프로 커스텀) 급처합니다 | 아이패드 프로11 2세대 +애플펜슬 팝니다 급처합니다 | 맥북 에어 M2 13인치 모델 (8/512) 급처합니다
광주,30,검토 필요,"갤럭시 s25, 갤럭시 s26, 플스5, 갤럭시 s25 플러스",S급 갤럭시S23 256기가 라벤더 부산중고폰 01824 광주 인천 | 갤럭시S23FE 256기가 민트 부산중고폰 65698 광주 인천 서울 | (25년 개통) A급. 갤럭시S24FE 부산중고폰69375 광주 서울
애플펜슬2세대,30,검토 필요,아이패드,애플 아이패드 에어4 64G +애플펜슬2세대 판매합니다 | 애플 아이패드 프로3세대12.9 1tb+애플펜슬2세대+짭키보드케이스 | 아이패드 프로11 M2 128G 애플펜슬2세대 풀구성
2025,29,검토 필요,"갤럭시워치, 에어팟 프로, 아이패드, 맥북, 애플워치, 갤럭시 s25 울트라, 갤럭시 s25, 플스5","2025.05.19최초통화, 갤럭시 S25 ultra 울트라512 자급제 | Apple 2025 아이패드 (A16 모델) | 2025 아이패드 A16 128GB 직거래만"
최신폰,29,검토 필요,"갤럭시 s25, 갤럭시 s25 울트라",최신폰 대용량 갤럭시 S25울트라 512기가 화이트실버
핸드폰,29,검토 필요,"갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s26, 아이폰 16, 아이폰 17, 아이폰 15, 아이패드",갤럭시 s25 핸드폰 케이스 | 갤럭시 S25풀러스 소가죽 핸드메이드 핸드폰 다이어리케이스 | 올케이스 투명 폰케이스(갤럭시 S25) + 자석 핸드폰 거치대
마그넷,29,검토 필요,"갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25, 닌텐도 스위치",갤럭시 S26 울트라 치사 마그넷 케이스 | 삼성 갤럭시 S26 울트라 512G 블랙+정품 마그넷 케이스 | 갤럭시S26 울트라 정품 실리콘 마그넷 케이스
붕괴,29,검토 필요,"갤럭시 s26 울트라, 갤럭시 s26",붕괴 스타레일 키레네 굿즈 갤럭시 S26울트라 에디션(구매특전포함) | 붕괴 스타레일 갤럭시s26울트라 콜라보 키레네 에디션 아크릴 뮤직박스 | 붕괴 스타레일 갤럭시s26울트라 콜라보 키레네 핸드폰케이스
2tb,29,검토 필요,"아이패드, 플스5, 맥북, 아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17, 아이폰 16",[미개봉] 아이폰 17 프로 맥스 2TB 딥 블루 자급제 | 리퍼 새상품) 아이패드 프로 3세대 M1 11인치 2tb 스그 | [미개봉] 아이패드 프로 13인치 M5 2TB 판매합니다
8세대,29,검토 필요,"아이패드, 맥북, 애플워치, 닌텐도 스위치",아이패드 8세대 32GB + 애플펜슬 1세대 박스포함 판매합니다 | 아이패드 8세대 셀룰러 32기가 스페이스그레이 | 아이패드 에어 11 8세대 m4 128gb (블루)
스페이스블랙,29,검토 필요,"아이패드, 맥북, 애플워치",아이패드 프로 8세대 M5 13인치 256gb 스페이스블랙 | 아이패드 프로 7세대 M4 13인치 512gb 스페이스블랙 | 아이패드 프로 7세대 M4 13인치 512gb 셀룰러 스페이스블랙
정발,29,검토 필요,"닌텐도 스위치, 플스5, 에어팟 프로",에어팟 프로 3세대 미개봉 국내 정발 구매합니다 | 일본 정발) 닌텐도 스위치 포켓몬스터 스칼렛/바이올렛 더블팩 | (정발/새제품) 닌텐도 스위치 문명 6
전용,28,검토 필요,"닌텐도 스위치, 아이패드, 플스5, 로보락, 갤럭시 s25 울트라, 갤럭시 s25, 맥북, 에어팟 프로","갤럭시s25 울트라 전용 케이스티파이 헬로키티 스티커 케이스 새상품 | 갤럭시s25 울트라 전용 케이스티파이 시나모롤 러블리 카페 스티커 케이스 s급 | 프리웰 아이폰16프로 전용 케이지, SSD마운트, 아나모픽렌즈 일괄"
폴리오,28,검토 필요,"아이패드, 갤럭시 s25",SMAPP 삼성 갤럭시 S25 리액트 폴리오 케이스 블랙 | 아이패드 에어3세대 256 애플펜슬1세대  정품 스마트 키보드 폴리오 | 로지텍 폴리오 터치 아이패드 에어 4/5세대
gb,28,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이패드, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 아이폰 16, 갤럭시워치",갤럭시s25 256_GB 판매합니다!!
일괄판매,28,검토 필요,"플스5, 아이폰 17, 아이패드, 아이폰 16, 아이폰 17 프로, 아이폰 15, 애플워치, 닌텐도 스위치",갤럭시 s26 울트라 512GB 외 기타 구성품 일괄판매 | 아이폰16 케이스티파이 일괄판매 | 아이폰 16 프로 케이스 8종 (일괄판매)
리본,28,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 15, 닌텐도 스위치, 아이폰 17 프로 맥스, 아이폰 17e",아이폰 리본 에폭시 범퍼 케이스 16pro | 아이폰 16프로 리본 케이스 | 물결 리본 미러 케이스 아이폰17 16 15 14 프로 맥스
스마트,28,검토 필요,"아이패드, 갤럭시워치, 맥북, 애플워치, 갤럭시 s25",아이패드 에어3세대 256 애플펜슬1세대  정품 스마트 키보드 폴리오 | 애플 아이패드 에어 4/5세대 스마트 폴리오(미개봉 새거) | 아이패드 7세대 32GB 와이파이+스마트 키보드
45,28,product_token_dictionary model 후보,"애플워치, 아이패드",급매) 아이패드 에어5 64G 스타라이트 WIFI 상태AAA 88% 45 | 애플워치 정품 레더스트랩 42mm ( 45-49 호환) | 새제품) 애플워치 정품 스포츠밴드 네이비 44/45/46mm
애플워치8,28,검토 필요,"애플워치, 갤럭시워치",애플워치8 스테인리스 41mm | 애플워치8 스테인리스 스틸 실버 45mm 셀룰러  정품 밀레니즈 루프 포 | 애플워치8 스테인리스 실버 45mm 미개봉 미사용 신품
uag,27,검토 필요,"아이폰 16, 갤럭시 s25, 아이폰 17 프로, 아이폰 17, 갤럭시 s25 울트라, 갤럭시 s25 플러스, 갤럭시 s26, 아이폰 17 프로 맥스","갤럭시 s25 울트라 삼성 정품 ar 필름, uag 강화유리 | 갤럭시 s25 울트라 삼성 정품 ar 필름, uag 강화유리 일괄 | 갤럭시 S25 울트라 케이스 UAG 패스파인더 클리어애쉬 맥세이프"
갤럭시탭,27,검토 필요,"아이패드, 맥북, 갤럭시 s25, 애플워치, 갤럭시 s25 플러스, 갤럭시 s26, 에어팟 프로, 갤럭시워치","갤럭시 S25 엣지, 갤럭시탭 S9 플러스 5G, 갤럭시 버즈4 | 아이패드매입 아이패드.갤럭시탭.갤럭시폴드.제트플립.s26.s25.s24 | 삼성 갤럭시탭 S2_SM-T815NO 판매합니다."
기본형,27,검토 필요,"맥북, 갤럭시 s25, 아이패드, 갤럭시 s26",갤럭시 S25 실버쉐도우 기본형(512기가) | 갤럭시 S25 실버쉐도우 기본형(512GB) | 갤럭시 S26 화이트 기본형(512기가)
무라카미,27,검토 필요,"아이폰 17 프로, 아이폰 17, 아이폰 16, 아이폰 17 프로 맥스, 아이폰 15",케이스티파이 X 무라카미 다카시 아이폰 16+ | 케이스티파이 X 무라카미 다카시 블루 아이폰 16프로맥스 케이스 | 케이스티파이 무라카미 매트 블랙 아이폰16프로 케이스
0501,27,검토 필요,"갤럭시 s25, 갤럭시 s25 플러스, 갤럭시 s26, 아이폰 16, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 아이폰 15, 애플워치",아이폰16프로맥스 256기가 블랙 (배터리92) / 0501 | 갤럭시S24울트라 256기가 블랙 (무잔상) / 0501 | 갤럭시S24플러스 256기가 그레이 (무잔상) / 0501
키티,27,검토 필요,"아이폰 17, 아이폰 16, 아이폰 15, 에어팟 프로, 아이폰 17 프로, 아이패드, 닌텐도 스위치",키티 아이폰 케이스(16pro) | 새상품) 아이폰 16 Pro 키티 케이스 + 스트랩 + 키티키링 | 아이폰16 키티 케이스
아이폰15pro,27,검토 필요,"아이폰 15, 아이폰 16, 아이폰 17, 아이폰 17 프로",마이멜로디 카메라랜즈필름 아이폰17 아이폰15pro 16  아이폰13 | 쿠로미 카메라랜즈필름 아이폰17 아이폰15pro 16  아이폰15plus | 시나모롤 카메라랜즈필름 아이폰17 아이폰15pro 16 아이폰13mini
비싸게삽니다,27,검토 필요,"아이폰 17 프로 맥스, 아이폰 17 프로, 아이폰 17",비싸게삽니다!!! 아이폰17프로 17프로맥스 미개봉 256 512 1TB | 비싸게삽니다!!! 아이폰17프로 17프로맥스 미개봉 실버 블루 오렌지 | 아이폰17프로맥스 폴드7 플립7 S26 미개봉 자급제 512 비싸게삽니다
s23fe,27,검토 필요,"갤럭시 s25, 갤럭시 s26",당일발송 무잔상 AA급 갤럭시 S23FE 256기가 블랙 부산중고폰 | (AA급)무잔상 갤럭시 S23FE 256기가 블랙 부산 | AA급)무잔상 갤럭시 S23FE 256기가 블랙 부산
미니7,27,검토 필요,아이패드,아이패드 미니7 128기가 S급 (필름부착 애케플 귀속) 쿨거70 | 아이패드 미니7 128 스타라이트 wifi a17pro a17 | 애플 아이패드 미니7 (A17 Pro) SS급 풀박스
미니6,27,검토 필요,아이패드,ESR 아이패드 미니6/7 강화유리 | 아이패드 미니6 스페이스 그레이 64g | 아이패드 미니6 64GB A급 싸게 판매합니다!!
애플워치se,27,검토 필요,애플워치,애플워치SE 1세대(반택포함) 마지막 가격내림 | 애플워치SE | 애플워치SE 40MM 블루투스
실드,27,검토 필요,닌텐도 스위치,칩케이스+ 닌텐도 스위치 포켓몬스터 소드 실드 더블팩 | 닌텐도 스위치 포켓몬스터 실드 알칩 | 닌텐도 스위치 포켓몬스터 소드/실드 2종세트
동숲,27,검토 필요,닌텐도 스위치,닌텐도 스위치 모여봐요 동물의숲 (모동숲) 닌텐도 동숲 스위치 | (미개봉)닌텐도 스위치2 모여봐요 동물의숲 동숲 팝니다 새제품 | 닌텐도 스위치 모여봐요 동물의숲 동숲 하자 아미보 카드 양도 처분 칩
엘라고,26,검토 필요,"아이폰 17, 아이패드, 아이폰 16, 아이폰 17 프로, 맥북, 에어팟 프로, 갤럭시 s25 울트라, 갤럭시 s25",갤럭시s25울트라 엘라고 실리콘 맥세이프 케이스 팝니다 | 엘라고 아이폰16 맥세이프 케이스 - 화이트 | 엘라고 아이폰 16 Pro 강화유리 액정 보호필름
그라데이션,26,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s25 플러스, 아이폰 15, 갤럭시 s25 울트라, 에어팟 프로",갤럭시S25울트라 그라데이션 카드범퍼 케이스 S938 | 갤럭시S25플러스 그라데이션 카드범퍼 케이스 S936 | 갤럭시S25엣지 그라데이션 카드범퍼 케이스 S937
무기스,26,검토 필요,"갤럭시 s25, 아이폰 17 프로, 아이폰 17, 갤럭시 s25 울트라, 갤럭시 s26, 아이폰 16, 아이폰 17 프로 맥스, 애플워치",*102만* 갤럭시 S25울트라 화이트 512기가 25년 5월개통 무기스 초SSS급 판매합니다 | [80만]갤럭시S25엣지 512기가 무찍힘 무기스 S급 기기입니다 | 갤럭시 s25 실버 512기가 무기스 자급제
b급,26,검토 필요,"갤럭시 s25, 아이폰 16, 맥북, 갤럭시 s25 플러스, 갤럭시 s26, 갤럭시 s25 울트라, 애플워치, 아이패드",갤럭시 S25 울트라 1TB 화이트 B급 자급제 | 갤럭시S25플러스512 B급 | C26 b급 아이폰SE1 16기가 무음
마블,26,검토 필요,"갤럭시 s25, 갤럭시 s25 플러스, 갤럭시 s26, 플스5, 닌텐도 스위치, 아이폰 16, 아이패드, 에어팟 프로",갤럭시 s25+ 케이스 마블 스파이더맨 | 갤럭시 s25+ 마블 케이스 | 케이스티파이 마블 스파이더맨 아이폰 16프로 케이스 구해요
진주,26,검토 필요,"갤럭시 s25, 갤럭시 s26, 아이폰 16, 갤럭시 s25 울트라, 애플워치",갤럭시S25 256기가 실버 부산중고폰 69684 김해 울산 진주 양산 | 267001676 케이스티파이X마뗑킴 데님 진주 체인 아이폰16 케이스 | 아이폰16프로 128GB 블랙 배터리100 부산중고폰 양산 통영 진주
상태좋음,26,검토 필요,"아이패드, 갤럭시 s25, 갤럭시워치, 아이폰 15, 애플워치, 플스5, 갤럭시 s26, 맥북",갤럭시 S25 512GB 자급제 풀박스 3달사용 상태좋음 | 갤럭시s25 256gb 블루 삼성센터 보드교체 상태좋음 | 아이폰15 128g 핑크 상태좋음 박스있음
애플케어플러스,26,검토 필요,"맥북, 아이폰 16, 아이폰 17, 아이패드, 아이폰 17 프로, 애플워치",아이폰16 블랙 128GB 자급제 리퍼 미사용 애플케어플러스 애케플 | 아이폰16프로맥스 256G 데저트 /애플케어플러스 | 애플케어플러스 남은 아이폰16 256기가 배터리 성능 100프로 팝니다
매직,26,검토 필요,"아이패드, 맥북",애플 아이패드 매직 키보드 13인치 블랙 정품 | AITEWO 아이패드 매직 키보드 케이스 | 아이패드 에어13(M3)상태 s급 급처!!+매직 키보드
네오,26,검토 필요,"맥북, 플스5",[노트북] 애플 맥북 네오 512GB 미개봉 새제품 | 애플 맥북 네오 512G | [미개봉] 애플 맥북 네오 시트러스 13인치
디럭스,26,검토 필요,"닌텐도 스위치, 플스5",닌텐도 스위치 마리오카트 8 디럭스 | 닌텐도 스위치 마리오카트8 디럭스 한글판 | 닌텐도 스위치 마리오카트 8 디럭스 곽팩
야생의,26,검토 필요,닌텐도 스위치,닌텐도 스위치 젤다의 전설 브레스 오브 더 와일드 야생의 숨결 | 닌텐도 스위치 젤다의 전설 야생의 숨결 직거래만(택배x) | 닌텐도 스위치 젤다의 전설 야생의 숨결
숨결,26,검토 필요,닌텐도 스위치,닌텐도 스위치 젤다의 전설 브레스 오브 더 와일드 야생의 숨결 | 닌텐도 스위치 젤다의 전설 야생의 숨결 직거래만(택배x) | 닌텐도 스위치 젤다의 전설 야생의 숨결
v11,26,검토 필요,다이슨,"다이슨 V11 호환 배터리 6800mAh. 새제품 | (정품)다이슨 v11 본체.배터리 개당가격 | 다이슨 진공 청소기 정품충전기(V10, V11)"
삼케플,25,검토 필요,"갤럭시 s25, 갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25 울트라, 갤럭시 s25 플러스",[서울] 갤럭시 S25 울트라 1TB 티타늄 제이드그린 자급제 공기계 특 A급 삼케플 양도 가능 선약 가능 | 갤럭시 S25 울트라 1TB 자급제 풀박 삼케플 | 갤럭시 S25 플러스 512GB 네이비 [자급제] (삼케플 양도 가능)
64,25,product_token_dictionary model 후보,"아이패드, 아이폰 16, 아이폰 17, 갤럭시 s25, 아이폰 17 프로",갤럭시S25 SKT향 512GB(64) | 리퍼급)갤럭시S25 무잔상 외관깨끗 64.9만 최저가 중고폰 삼성 스마트폰 공기기 공기계 | 아이폰SE1 16 32 64 128
클리어케이스,25,검토 필요,"아이폰 16, 아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스, 갤럭시 s25, 갤럭시 s26 울트라, 갤럭시 s26","미개봉) 삼성정품 갤럭시 S25 엣지 투명 클리어케이스 | 삼성 버즈3, 갤럭시링, 25W충전기, S26울트라 클리어케이스 판매 | 아이폰 16,17 프로, 맥스 애플정품 클리어케이스 미개봉"
컬러,25,검토 필요,"갤럭시 s26, 갤럭시 s26 울트라, 갤럭시 s25, 아이폰 16, 아이폰 17, 아이패드, 아이폰 15, 애플워치",갤럭시 S25 24 23 22 21 20 10 다이어리 케이스 컬러 그린 | 갤럭시S26울트라 카메라 렌즈 강화유리 보호 필름 컬러 실버 1개 | 갤럭시S26울트라 카메라 렌즈 강화유리 보호 필름 컬러 퍼플 1개
코발트,25,검토 필요,"갤럭시 s26, 갤럭시 s25, 갤럭시 s25 플러스, 갤럭시 s26 울트라, 아이폰 16",갤럭시 S26 울트라 코발트 바이올렛 미개봉 새상품 512GB | [자급제] 갤럭시 S26 울트라 512 코발트 바이올렛 | 갤럭시 s26 플러스 코발트 바이올렛 512기가 자급제 미개봉 새상품
도트,25,검토 필요,"아이폰 17, 아이폰 16, 아이폰 17 프로, 아이폰 17e, 아이패드, 아이폰 17 프로 맥스",아이폰 16프로 케이스 미쁜이 케이스티파이 리락쿠마 날개 도트 | 더나인몰 아이폰16 카드수납 케이스 핑크 도트 | 하우스 오브 댄스 도트 케이스 아이폰 16
배터리성능100,25,검토 필요,"아이폰 16, 갤럭시 s25, 갤럭시 s26, 아이패드, 아이폰 17, 아이폰 15",119128 아이폰6S 로즈골드 16G 무잔상 인스타 배터리성능100% | 297979 아이폰 6S플러스 골드 16G 무잔상 A급 배터리성능100% | !!감성폰!! 아이폰6s 배터리성능100% 스페이스그레이 16GB
올드아이폰,25,검토 필요,"아이폰 16, 아이폰 17e, 아이폰 17",!!올드아이폰!! 아이폰se1 (A1662) 로즈골드 16GB 울산중고폰 | !!올드아이폰!! 아이폰se1(A1723) 로즈골드 16GB 울산중고폰 | !!올드아이폰!! 아이폰se1 (A1723) 골드 16GB 울산중고폰
테크우븐,25,검토 필요,"아이폰 17, 아이폰 17 프로, 아이폰 17 프로 맥스","빅쏘 VICXXO 테크우븐 맥세이프 아이폰17프로맥스 케이스 새제품 | 아이폰 17프로맥스 용 테크우븐,실리콘,케이스티파이 케이스 | 아이폰17 프로맥스 테크우븐 케이스"
5만,25,검토 필요,"갤럭시 s25, 갤럭시 s26, 플스5",S급)갤럭시S24 무잔상 256G 52.5만 상태굿 최저가 | 갤럭시 S20fe 화이트 12.5만
